#	CITY NAME	POPULATION
1	Dhaka	10,356,500
2	Chittagong	3,920,222
3	Khulna	1,342,339
4	Rajshahi	700,133
5	Comilla	389,411
6	Shibganj	378,701
7	Natore	369,138
8	Rangpur	343,122
9	Tungi	337,579
10	Narsingdi	281,080
11	Bagerhat	266,388
12	Cox's Bazar	253,788
13	Jessore	243,987
14	Nagarpur	238,422
15	Sylhet	237,000
16	Mymensingh	225,126
17	Narayanganj	223,622
18	Bogra	210,000
19	Dinajpur	206,234
20	Barisal	202,242
21	Saidpur	199,422
22	Par Naogaon	192,464
23	Pabna	186,781
24	Paltan	184,492
25	Tangail	180,144
26	Jamalpur	167,900
27	Puthia	159,406
28	Nawabganj	142,361
29	Kushtia	135,724
30	Sonargaon	130,000
31	Satkhira	128,918
32	Sirajganj	127,481
33	Faridpur	112,187
34	Sherpur	107,419
35	Bhairab Bazar	105,457
36	Shahzadpur	102,420
37	Bhola	99,079
38	Azimpur	96,641
39	Kishorganj	90,690
40	Bibir Hat	89,030
41	Habiganj	88,760
42	Madaripur	84,789
43	Feni	84,028
44	Laksham	82,290
45	Ishurdi	81,995
46	Sarishabari	81,325
47	Netrakona	79,016
48	Joypur Hat	73,068
49	Thakurgaon	71,096
50	Palang	67,652
51	Lalmonirhat	65,127
52	Raipur	64,652
53	Tungipara	62,210
54	Lakshmipur	61,703
55	Maulavi Bazar	57,441
56	Joymontop	56,000
57	Ramganj	55,241
58	Narail	55,112
59	Pirojpur	54,418
60	Sandwip	52,152
61	Satkania	52,005
62	Patiya	51,360
63	Khagrachhari	50,364
64	Chilmari	49,736
65	Nageswari	49,425
66	Panchagarh	48,531
67	Uttar Char Fasson	48,305
68	Parbatipur	48,020
69	Burhanuddin	45,670
70	Kaliganj	45,631
