#	CITY NAME	POPULATION
1	Sao Paulo	10,021,295
2	Rio de Janeiro	6,023,699
3	Salvador	2,711,840
4	Fortaleza	2,400,000
5	Belo Horizonte	2,373,224
6	Brasilia	2,207,718
7	Curitiba	1,718,421
8	Manaus	1,598,210
9	Recife	1,478,098
10	Belem	1,407,737
11	Porto Alegre	1,372,741
12	Goiania	1,171,195
13	Guarulhos	1,169,577
14	Campinas	1,031,554
15	Nova Iguacu	1,002,118
16	Maceio	954,991
17	Sao Luis	917,237
18	Duque de Caxias	818,329
19	Natal	763,043
20	Teresina	744,512
21	Sao Bernardo do Campo	743,372
22	Campo Grande	729,151
23	Jaboatao	702,621
24	Osasco	677,856
25	Santo Andre	662,373
26	Joao Pessoa	650,883
27	Jaboatao dos Guararapes	630,008
28	Contagem	627,123
29	Ribeirao Preto	619,746
30	Sao Jose dos Campos	613,764
31	Uberlandia	563,536
32	Sorocaba	558,862
33	Cuiaba	521,934
34	Aparecida de Goiania	510,770
35	Aracaju	490,175
36	Feira de Santana	481,911
37	Londrina	471,832
38	Juiz de Fora	470,193
39	Belford Roxo	466,096
40	Joinville	461,304
41	Niteroi	456,456
42	Sao Joao de Meriti	454,849
43	Ananindeua	433,956
44	Florianopolis	412,724
45	Santos	411,403
46	Ribeirao das Neves	406,802
47	Vila Velha	394,930
48	Serra	394,153
49	Diadema	390,633
50	Campos dos Goytacazes	387,417
51	Maua	386,069
52	Betim	384,000
53	Caxias do Sul	381,270
54	Sao Jose do Rio Preto	374,699
55	Olinda	366,754
56	Carapicuiba	361,112
57	Campina Grande	348,936
58	Piracicaba	342,209
59	Macapa	338,936
60	Itaquaquecetuba	336,679
61	Bauru	335,024
62	Montes Claros	332,379
63	Canoas	328,291
64	Mogi das Cruzes	325,746
65	Sao Vicente	324,457
66	Jundiai	321,589
67	Pelotas	320,674
68	Anapolis	319,587
69	Vitoria	312,656
70	Maringa	311,724
