
#	CITY NAME	POPULATION
1	Shanghai	22,315,474
2	Beijing	11,716,620
3	Tianjin	11,090,314
4	Guangzhou	11,071,424
5	Shenzhen	10,358,381
6	Wuhan	9,785,388
7	Dongguan	8,000,000
8	Chongqing	7,457,600
9	Chengdu	7,415,590
10	Nanjing	7,165,292
11	Nanchong	7,150,000
12	Xi'an	6,501,190
13	Shenyang	6,255,921
14	Hangzhou	6,241,971
15	Harbin	5,878,939
16	Tai'an	5,499,000
17	Suzhou	5,345,961
18	Shantou	5,329,024
19	Jinan	4,335,989
20	Zhengzhou	4,253,913
21	Changchun	4,193,073
22	Dalian	4,087,733
23	Kunming	3,855,346
24	Qingdao	3,718,835
25	Foshan	3,600,000
26	Puyang	3,590,000
27	Wuxi	3,543,719
28	Xiamen	3,531,347
29	Tianshui	3,500,000
30	Ningbo	3,491,597
31	Shiyan	3,460,000
32	Taiyuan	3,426,519
33	Tangshan	3,372,102
34	Hefei	3,310,268
35	Zibo	3,129,228
36	Zhongshan	3,121,275
37	Changsha	3,093,980
38	Urumqi	3,029,372
39	Shijiazhuang	2,834,942
40	Lanzhou	2,628,426
41	Yunfu	2,612,800
42	Nanchang	2,357,839
43	Dadonghai	2,000,000
44	Ordos	1,940,653
45	Jilin	1,881,977
46	Bayan Nur	1,760,000
47	Kunshan	1,600,000
48	Xinyang	1,590,668
49	Fushun	1,400,646
50	Luoyang	1,390,581
51	Guankou	1,380,000
52	Handan	1,358,318
53	Baotou	1,301,768
54	Xuchang	1,265,536
55	Yueyang	1,200,000
56	Anshan	1,199,275
57	Tongshan	1,199,193
58	Fuzhou	1,179,720
59	Guiyang	1,171,633
60	Lijiang	1,137,600
61	Datong	1,052,678
62	Changshu City	1,047,700
63	Xianyang	1,034,081
64	Huainan	1,027,655
65	Jieyang	1,001,985
66	Zhu Cheng City	1,000,000
67	Baoding	995,652
68	Benxi	987,717
69	Changzhou	949,018
70	Huaibei	903,039
