#	CITY NAME	POPULATION
1	Jakarta	8,540,121
2	Surabaya	2,374,658
3	Medan	1,750,971
4	Bandung	1,699,719
5	Bekasi	1,520,119
6	Palembang	1,441,500
7	Tangerang	1,372,124
8	Makassar	1,321,717
9	South Tangerang	1,303,569
10	Semarang	1,288,084
11	Depok	1,198,129
12	Batam	1,164,352
13	Padang	840,352
14	Denpasar	834,881
15	Bandar Lampung	800,348
16	Bogor	800,000
17	Malang	746,716
18	Pekanbaru	703,956
19	City of Balikpapan	700,000
20	Yogyakarta	636,660
21	Situbondo	600,000
22	Banjarmasin	572,837
23	Surakarta	555,308
24	Cimahi	493,698
25	Pontianak	455,173
26	Manado	451,893
27	Balikpapan	433,866
28	Jambi City	420,323
29	Ambon	355,596
30	Samarinda	355,160
31	Mataram	318,674
32	Percut	311,063
33	Bengkulu	309,712
34	Jember	298,585
35	Palu	282,431
36	Kupang	282,396
37	Sukabumi	276,414
38	Tasikmalaya	271,143
39	Pekalongan	257,945
40	Cirebon	254,298
41	Banda Aceh	250,757
42	Tegal	237,084
43	Kediri	235,143
44	Binjai	228,763
45	Purwokerto	217,222
46	Purwakarta	215,803
47	Loa Janan	212,816
48	Pematangsiantar	209,614
49	Ciputat	207,858
50	Ciampea	207,212
51	Cileungsir	202,190
52	Rengasdengklok	201,463
53	Sumedang	200,000
54	Kendari	195,006
55	Parung	193,898
56	Tanjung Pinang	192,493
57	Curug	191,406
58	Labuan Bajo	188,724
59	Cibinong	188,663
60	Madiun	186,099
61	Pemalang	184,149
62	Lembang	183,130
63	Probolinggo	181,656
64	Pamulang	174,557
65	Cikupa	174,041
66	Salatiga	172,645
67	Plumbon	167,105
68	Banjaran	164,952
69	Serang	164,767
70	Lawang	159,380
