#	CITY NAME	POPULATION
1	Mexico City	12,294,193
2	Iztapalapa	1,815,786
3	Ecatepec de Morelos	1,655,015
4	Guadalajara	1,495,182
5	Puebla	1,434,062
6	Juarez	1,321,004
7	Tijuana	1,300,983
8	Leon de los Aldama	1,238,962
9	Gustavo Adolfo Madero	1,185,772
10	Zapopan	1,142,483
11	Monterrey	1,135,512
12	Ciudad Nezahualcoyotl	1,104,585
13	Chihuahua	809,232
14	Naucalpan de Juarez	792,211
15	Merida	777,615
16	Alvaro Obregon	726,664
17	San Luis Potosi	722,772
18	Aguascalientes	722,250
19	Hermosillo	715,061
20	Saltillo	709,671
21	Mexicali	689,775
22	Culiacan	675,773
23	Guadalupe	673,616
24	Acapulco de Juarez	673,479
25	Tlalnepantla	653,410
26	Cancun	628,306
27	Santiago de Queretaro	626,495
28	Coyoacan	620,416
29	Santa Maria Chimalhuacan	612,383
30	Torreon	608,836
31	Morelia	597,511
32	Reynosa	589,466
33	Tlaquepaque	575,942
34	Tlalpan	574,577
35	Tuxtla	537,102
36	Cuauhtemoc	531,831
37	Victoria de Durango	518,709
38	Toluca	489,333
39	Ciudad Lopez Mateos	489,160
40	Cuautitlan Izcalli	484,573
41	Ciudad Apodaca	467,157
42	Heroica Matamoros	449,815
43	San Nicolas de los Garza	443,273
44	Venustiano Carranza	430,978
45	Veracruz	428,323
46	Xalapa de Enriquez	424,755
47	Azcapotzalco	414,711
48	Tonala	408,759
49	Xochimilco	407,885
50	Benito Juarez	385,439
51	Iztacalco	384,326
52	Mazatlan	381,583
53	Irapuato	380,941
54	Nuevo Laredo	373,725
55	Miguel Hidalgo	372,889
56	Xico	356,352
57	Benito Juarez	355,017
58	Villahermosa	353,577
59	Ciudad General Escobedo	352,444
60	Celaya	340,387
61	Cuernavaca	338,650
62	Tepic	332,863
63	Ixtapaluca	322,271
64	Tampico	309,003
65	Ciudad Victoria	305,155
66	Tlahuac	305,076
67	Ciudad Obregon	298,625
68	Nicolas Romero	281,799
69	Ensenada	279,765
70	Coacalco	277,959
