#	CITY NAME	POPULATION
1	Lagos	9,000,000
2	Kano	3,626,068
3	Ibadan	3,565,108
4	Kaduna	1,582,102
5	Port Harcourt	1,148,665
6	Benin City	1,125,058
7	Maiduguri	1,112,449
8	Zaria	975,153
9	Aba	897,560
10	Jos	816,824
11	Ilorin	814,192
12	Oyo	736,072
13	Enugu	688,862
14	Abeokuta	593,100
15	Abuja	590,400
16	Sokoto	563,861
17	Onitsha	561,066
18	Warri	536,023
19	Ebute Ikorodu	535,619
20	Okene	479,178
21	Calabar	461,796
22	Uyo	436,606
23	Katsina	432,149
24	Ado-Ekiti	424,340
25	Akure	420,594
26	Bauchi	316,149
27	Ikeja	313,196
28	Makurdi	292,645
29	Minna	291,905
30	Efon-Alaaye	279,319
31	Ilesa	277,904
32	Owo	276,574
33	Umuahia	264,662
34	Ondo	257,005
35	Ikot Ekpene	254,806
36	Iwo	250,443
37	Gombe	250,258
38	Jimeta	248,148
39	Atani	230,000
40	Gusau	226,857
41	Mubi	225,705
42	Ikire	222,160
43	Owerri	215,038
44	Shagamu	214,558
45	Ijebu-Ode	209,175
46	Ugep	200,276
47	Nnewi	193,987
48	Ise-Ekiti	190,063
49	Ila Orangun	179,192
50	Saki	178,677
51	Bida	171,656
52	Awka	167,738
53	Ijero-Ekiti	167,632
54	Inisa	164,161
55	Suleja	162,135
56	Sapele	161,686
57	Osogbo	156,694
58	Kisi	155,510
59	Gbongan	139,485
60	Ejigbo	138,357
61	Funtua	136,811
62	Igboho	136,764
63	Buguma	135,404
64	Ikirun	134,240
65	Abakaliki	134,102
66	Okrika	133,271
67	Amaigbo	127,300
68	Lafia	127,236
69	Gashua	125,817
70	Modakeke	119,529
