#	CITY NAME	POPULATION
1	Karachi	11,624,219
2	Lahore	6,310,888
3	Faisalabad	2,506,595
4	Rawalpindi	1,743,101
5	Multan	1,437,230
6	Hyderabad	1,386,330
7	Gujranwala	1,384,471
8	Peshawar	1,218,773
9	Rahim Yar Khan	788,915
10	Quetta	733,675
11	Muzaffarabad	725,000
12	Battagram	700,000
13	Kotli	640,000
14	Islamabad	601,600
15	Bahawalpur	552,607
16	Sargodha	542,603
17	Sialkot	477,396
18	Sukkur	417,767
19	Larkana	364,033
20	Shekhupura	361,303
21	Bhimbar	342,900
22	Jhang Sadr	341,210
23	Gujrat	301,506
24	Mardan	300,424
25	Malir Cantonment	300,000
26	Kasur	290,643
27	Mingora	279,914
28	Dera Ghazi Khan	236,093
29	Sahiwal	235,695
30	Nawabshah	229,504
31	Okara	223,648
32	Mirpur Khas	215,657
33	Chiniot	201,781
34	Shahkot	200,000
35	Kamoke	199,531
36	Saddiqabad	189,876
37	Burewala	183,915
38	Jacobabad	170,588
39	Muzaffargarh	165,192
40	Muridke	164,246
41	Jhelum	164,080
42	Shikarpur	156,901
43	Hafizabad	153,656
44	Kohat	151,427
45	Khanpur	142,426
46	Khuzdar	141,227
47	Dadu	139,784
48	Gojra	139,726
49	Mandi Bahauddin	129,733
50	Tando Allahyar	127,202
51	Daska Kalan	126,924
52	Pakpattan	126,706
53	Bahawalnagar	126,700
54	Bahawalnagar	126,617
55	Tando Adam	125,598
56	Khairpur Mir's	124,602
57	Chishtian	122,199
58	Abbottabad	120,000
59	Jaranwala	119,785
60	Ahmadpur East	116,579
61	Vihari	112,840
62	Kamalia	112,426
63	Kot Addu	104,217
64	Khushab	102,793
65	Wazirabad	102,444
66	Dera Ismail Khan	101,616
67	Chakwal	101,200
68	Swabi	97,363
69	Lodhran	97,249
70	Nowshera Cantonment	96,766
